step,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
