step,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
